,0
foolishness,0
hath,32
wholesome,0
takest,0
feelings,0
anger,1
vaivaswata,0
matrix,0
kindled,0
convict,1
diadem,1
rushed,0
saliva,0
revelation,0
indirectly,0
open,0
distortions,0
expecteth,0
perishing,1
rage,4
unbridled,0
looketh,0
washed,0
nursingmother,0
caper,0
prosperous,0
lightmindedness,0
imprisonment,0
maghavan,0
supported,0
distinctions,0
lambs,1
illumination,0
mercury,0
partakers,0
tell,0
build,1
neither,20
soft,2
detraction,1
thirsting,1
filial,0
shortness,0
mentally,0
land,11
nonexistent,0
ignorantly,0
warning,0
conceal,0
events,1
fare,0
occupation,0
commit,0
shocks,0
performs,0
noseconsciousness,0
certainty,0
gluttony,0
gospel,0
guest,2
argumentative,0
axletree,0
tillage,0
countercurrent,0
approveth,0
mood,0
impressions,0
bull,0
valuable,0
visible,0
siding,0
cypress,0
possessor,0
propped,0
sacrificial,0
separateness,0
cistern,0
amiable,0
treats,0
let,17
coward,0
handle,1
something,0
descending,0
lake,0
drew,1
disquieted,0
felt,0
ends,2
afar,1
remedy,2
casts,0
i,0
affliction,1
illuminating,0
pained,0
aristotle,0
disadvantages,0
imperishable,0
incantations,0
debt,0
ruled,0
join,0
conveys,0
winds,2
discerning,0
convenient,1
survive,0
adorable,0
staying,0
united,0
origination,0
aged,1
limitless,0
individuality,0
exalting,0
sweareth,0
bewitching,1
great,17
overtaken,1
hardly,1
yielding,1
voyage,1
created,3
seventh,0
suspect,0
embrace,0
came,15
soothsayer,0
addressing,0
explained,0
violent,0
joyful,0
idle,1
regrets,0
sodium,0
insuperable,0
riot,1
reverently,0
elsewhere,0
kingdoms,1
exquisite,0
succession,0
joy,3
fears,2
iniquity,4
sunbeam,1
suns,0
thus,0
asunder,0
wonder,1
withheld,0
injurious,0
fillet,0
gives,0
pamper,0
skillful,0
prepareth,0
aversion,0
kidneys,0
play,0
disenchantment,0
afflicted,4
transferring,0
decease,0
sassing,0
possesseth,0
conformity,0
agni,0
inaudible,0
leave,3
reserveth,0
joyfulness,0
drying,0
appeared,2
ended,1
detach,0
rises,0
immutable,0
flows,0
asked,2
folding,0
wand,0
criminal,0
victory,0
marrow,0
decreaseth,0
abandoning,0
although,0
limit,0
eagle,0
glass,0
refreshment,1
song,0
generalization,0
polestar,0
provide,0
diligently,2
earnestly,0
bibles,0
smites,0
idiosyncrasies,0
deviseth,0
respondedthe,0
forming,0
distressdistress,0
charges,0
forgotten,1
sojourning,1
connected,0
suffers,0
meetings,0
abuse,0
admit,0
shrinking,0
kings,7
confections,0
creations,0
short,7
existed,0
jeroboam,0
neitherpainfulnorpleasant,0
defective,0
worthy,11
fond,0
ruler,0
pricketh,0
contents,0
considereth,0
devotes,0
reconciliation,0
entrap,0
everlastingness,0
vestments,0
tale,0
weighed,0
heap,0
common,3
grove,0
amazed,1
seeks,0
flourished,0
almond,0
befall,0
rolling,0
exhaustion,0
brings,0
looked,0
resolves,0
places,1
asketh,1
armpit,0
sacrifice,4
quarrel,0
longed,0
stirreth,0
spiritual,0
breaks,0
devoureth,0
fragmentary,0
coarse,0
jesse,0
abnormal,0
jest,0
stronger,0
inclineth,0
usually,0
animal,0
roguery,0
tile,0
galaxies,0
drives,0
condemnation,2
renounce,0
acknowledgment,0
sat,0
harps,0
precedes,0
work,4
motions,0
dungcarts,0
arranging,0
waketh,0
hither,0
giveth,0
robberies,0
giants,1
lot,3
nigh,0
overthrow,1
bulk,0
ownership,0
enumerating,0
comparing,0
license,0
exposed,1
lands,0
stops,0
attribution,0
seducers,1
rose,0
rupa,0
whales,0
deficiency,0
poetry,0
honoured,1
ram,0
merchants,0
insatiable,0
waxes,0
paramatman,0
shineth,0
husbandman,1
fidelity,0
vacancy,0
absorbing,0
preserver,0
reward,2
stumbling,0
lightens,0
past,3
surrender,0
scandal,0
unnoticed,0
excellence,0
entity,0
promise,0
potencies,0
astronomer,0
overturneth,1
saved,2
familiarly,0
lifechannels,0
selfrealization,0
mocker,0
table,0
wandered,0
located,0
mould,0
think,4
filthiness,1
perhaps,1
welling,0
links,0
swallow,0
grandest,0
womb,1
arose,0
theft,1
watered,0
spoke,0
ripe,0
drifting,0
torments,3
warm,0
hunter,0
examines,0
prajapati,0
thief,0
expends,0
devotion,0
practising,0
lions,1
cluster,0
vanishing,0
shrinks,0
resting,0
irritated,0
grant,0
application,0
planter,0
portions,0
robes,0
takes,0
disinterested,0
youth,3
workmaster,0
joints,0
projections,0
stalk,0
supplement,0
delusion,0
smothers,0
disorder,1
married,0
employments,0
imitate,1
sheweth,3
crossed,0
firstfruits,0
poured,1
blemish,0
intestines,0
withdrawal,0
signs,3
quieted,0
thefts,0
high,3
luxuriant,0
endowment,0
differentiate,0
striking,0
promised,1
acquaint,0
out,0
caused,0
reservoir,0
sign,2
dependent,0
crosses,0
antetype,0
thunder,0
examined,1
easily,3
claiming,0
forsaken,0
touching,0
resistance,0
villager,0
redeemed,0
stress,0
haughtiness,0
keep,5
revealeth,0
concupiscence,1
selfconscious,0
better,5
dreamless,0
aggregates,0
displayed,0
mahomet,0
mocketh,0
pleasant,0
illusion,0
dissolved,0
dhamma,0
identity,0
costly,1
separation,0
frivolous,0
laughingstock,0
borders,0
feign,0
sendeth,0
penetrable,0
disgraced,0
steadies,0
equivalent,0
ministry,1
begged,0
enlighteneth,0
thence,0
ceaselessly,0
crouch,0
driver,0
full,4
ants,0
affirmations,0
discomfort,0
joining,0
flax,0
intuitional,0
perverteth,0
club,0
causes,0
grape,0
embodying,0
sinews,0
needles,0
knows,0
nowhere,0
houses,1
basin,0
employment,0
expedient,0
omen,0
flushes,0
naming,0
murders,0
temperate,0
morsel,0
spirit,11
diviner,0
magnified,0
brimful,0
base,1
flash,0
knowers,0
artificers,0
root,3
whirlwinds,0
laden,0
disciples,0
referred,0
channel,0
food,8
accrue,0
schismatical,0
ago,0
burn,0
equanimous,0
purpose,0
pratyagatman,0
whilst,3
goal,0
theory,0
departs,0
fleetness,0
compare,1
opposition,0
distress,0
incensed,0
getteth,0
sansara,0
thrust,0
merely,0
advantage,1
worship,4
forgeth,0
wilful,0
pentapolis,2
vigour,0
churlishness,0
interior,0
contradistinction,0
honours,0
sureties,0
cattle,1
temporary,0
murder,1
condition,0
concerned,0
marbles,0
chosen,2
upanishads,0
creatures,5
live,4
naturalist,0
tabernacles,0
sully,0
definite,0
measure,2
position,0
hot,0
practice,0
doings,1
explain,0
farreaching,0
attribute,0
minutest,0
unwinding,0
naves,0
longlived,0
urinating,0
shalt,0
earnest,0
electrons,0
nights,0
cheerful,0
contemplation,0
obtained,0
net,0
bound,1
herb,1
brahmana,0
thou,61
savatthi,0
torrent,0
coordinated,0
blood,5
spacious,0
perverse,1
admonish,1
simpler,0
complete,0
wrestled,0
bashfulness,0
dares,0
manifested,0
assemblies,0
holocaust,1
awakes,0
wronging,0
counts,0
manifold,1
emblem,1
meddle,0
continent,1
submit,0
excessive,0
moving,0
surely,0
nest,0
extremes,0
nostrils,1
analysis,0
delighteth,0
blamed,1
wave,0
accused,1
palate,0
amended,1
cessation,0
complaint,0
lending,0
allknowing,0
lift,0
inclining,0
briefly,0
nexus,0
thing,7
assuredly,1
gait,0
meddleth,0
lifespan,0
tilleth,0
accustoming,0
bowels,1
wordsworth,0
correction,1
conquers,0
notices,0
searched,0
lovedst,1
loud,0
reacheth,2
greed,0
swords,0
meddling,0
sutras,0
angelic,0
entreaty,0
semblance,0
materialistic,0
concurring,1
retailer,0
feces,0
lovest,2
classified,0
prayest,0
arrogancy,0
thinly,0
deserveth,1
unwearying,0
pleasures,0
remembers,0
orderly,0
sustained,0
knoweth,6
doom,0
total,0
rewards,0
subtlest,0
err,3
vantage,0
dealer,0
reflecting,0
bud,0
mourn,0
negligence,0
egyptians,2
renowned,0
ceased,1
retract,0
reckoned,0
emotions,0
neglecteth,0
maintaineth,0
placed,0
ensnared,0
spiritually,0
solution,0
kinds,0
jivas,0
tonguesphere,0
beautified,0
parting,1
quality,1
fulfilment,0
moves,0
showers,0
nine,0
troubleth,0
nutriments,0
mingling,0
resemblances,1
train,0
examine,3
niggardliness,0
gain,2
byword,0
secondary,0
perish,4
stage,0
luminous,0
waged,0
attention,0
shrine,0
spent,0
procedure,0
stressfulness,0
ancients,1
contemplatives,0
confoundeth,0
centres,0
unanimous,0
eloquent,2
