,0
foolishness,0
hath,0
wholesome,0
takest,0
feelings,0
anger,1
vaivaswata,0
matrix,0
kindled,0
convict,0
diadem,0
rushed,0
saliva,0
revelation,0
indirectly,0
open,2
distortions,0
expecteth,0
perishing,0
rage,1
unbridled,0
looketh,0
washed,0
nursingmother,1
caper,0
prosperous,0
lightmindedness,0
imprisonment,0
maghavan,0
supported,0
distinctions,0
lambs,0
illumination,0
mercury,0
partakers,0
tell,1
build,0
neither,1
soft,7
detraction,0
thirsting,0
filial,2
shortness,1
mentally,0
land,2
nonexistent,1
ignorantly,0
warning,0
conceal,0
events,0
fare,0
occupation,0
commit,0
shocks,0
performs,0
noseconsciousness,0
certainty,0
gluttony,0
gospel,0
guest,3
argumentative,0
axletree,0
tillage,0
countercurrent,0
approveth,0
mood,0
impressions,0
bull,0
valuable,1
visible,0
siding,0
cypress,0
possessor,3
propped,0
sacrificial,0
separateness,0
cistern,0
amiable,0
treats,1
let,7
coward,0
handle,0
something,1
descending,0
lake,0
drew,0
disquieted,0
felt,0
ends,7
afar,0
remedy,0
casts,0
i,2
affliction,0
illuminating,0
pained,1
aristotle,0
disadvantages,0
imperishable,0
incantations,0
debt,0
ruled,1
join,0
conveys,1
winds,0
discerning,2
convenient,0
survive,0
adorable,0
staying,0
united,0
origination,0
aged,0
limitless,0
individuality,0
exalting,1
sweareth,0
bewitching,0
great,42
overtaken,0
hardly,0
yielding,0
voyage,0
created,0
seventh,0
suspect,0
embrace,3
came,1
soothsayer,0
addressing,0
explained,0
violent,3
joyful,0
idle,0
regrets,0
sodium,0
insuperable,0
riot,0
reverently,0
elsewhere,1
kingdoms,0
exquisite,1
succession,0
joy,0
fears,0
iniquity,0
sunbeam,0
suns,0
thus,33
asunder,0
wonder,0
withheld,0
injurious,1
fillet,0
gives,4
pamper,1
skillful,0
prepareth,0
aversion,0
kidneys,0
play,0
disenchantment,0
afflicted,0
transferring,0
decease,0
sassing,0
possesseth,0
conformity,1
agni,0
inaudible,1
leave,3
reserveth,0
joyfulness,0
drying,0
appeared,7
ended,0
detach,0
rises,1
immutable,0
flows,0
asked,0
folding,0
wand,0
criminal,0
victory,1
marrow,0
decreaseth,0
abandoning,0
although,1
limit,2
eagle,0
glass,0
refreshment,0
song,0
generalization,0
polestar,0
provide,0
diligently,0
earnestly,1
bibles,0
smites,1
idiosyncrasies,0
deviseth,0
respondedthe,0
forming,0
distressdistress,0
charges,0
forgotten,0
sojourning,0
connected,0
suffers,0
meetings,0
abuse,0
admit,1
shrinking,3
kings,6
confections,0
creations,0
short,0
existed,0
jeroboam,0
neitherpainfulnorpleasant,0
defective,0
worthy,0
fond,1
ruler,3
pricketh,0
contents,0
considereth,0
devotes,2
reconciliation,1
entrap,0
everlastingness,0
vestments,0
tale,1
weighed,0
heap,1
common,1
grove,0
amazed,0
seeks,3
flourished,0
almond,0
befall,0
rolling,0
exhaustion,2
brings,5
looked,3
resolves,0
places,2
asketh,0
armpit,0
sacrifice,0
quarrel,0
longed,0
stirreth,0
spiritual,2
breaks,0
devoureth,0
fragmentary,0
coarse,1
jesse,0
abnormal,0
jest,0
stronger,0
inclineth,0
usually,0
animal,1
roguery,0
tile,0
galaxies,0
drives,0
condemnation,0
renounce,4
acknowledgment,1
sat,0
harps,0
precedes,0
work,6
motions,0
dungcarts,1
arranging,0
waketh,0
hither,0
giveth,0
robberies,0
giants,0
lot,3
nigh,0
overthrow,1
bulk,0
ownership,1
enumerating,0
comparing,0
license,1
exposed,0
lands,1
stops,1
attribution,0
seducers,0
rose,1
rupa,0
whales,0
deficiency,2
poetry,0
honoured,2
ram,0
merchants,0
insatiable,1
waxes,0
paramatman,0
shineth,0
husbandman,0
fidelity,0
vacancy,2
absorbing,0
preserver,0
reward,1
stumbling,0
lightens,0
past,0
surrender,0
scandal,0
unnoticed,0
excellence,9
entity,0
promise,0
potencies,0
astronomer,0
overturneth,0
saved,0
familiarly,1
lifechannels,0
selfrealization,0
mocker,0
table,0
wandered,0
located,0
mould,0
think,4
filthiness,0
perhaps,0
welling,0
links,0
swallow,0
grandest,1
womb,0
arose,0
theft,0
watered,0
spoke,0
ripe,0
drifting,1
torments,0
warm,0
hunter,0
examines,0
prajapati,0
thief,0
expends,1
devotion,0
practising,1
lions,0
cluster,0
vanishing,0
shrinks,0
resting,1
irritated,0
grant,0
application,0
planter,1
portions,0
robes,1
takes,7
disinterested,0
youth,0
workmaster,0
joints,0
projections,0
stalk,0
supplement,1
delusion,1
smothers,0
disorder,5
married,0
employments,0
imitate,0
sheweth,0
crossed,1
firstfruits,0
poured,0
blemish,0
intestines,0
withdrawal,0
signs,0
quieted,0
thefts,0
high,3
luxuriant,1
endowment,0
differentiate,0
striking,0
promised,0
acquaint,0
out,0
caused,0
reservoir,0
sign,0
dependent,0
crosses,0
antetype,0
thunder,0
examined,0
easily,4
claiming,1
forsaken,0
touching,1
resistance,0
villager,0
redeemed,0
stress,0
haughtiness,0
keep,16
revealeth,0
concupiscence,0
selfconscious,0
better,3
dreamless,0
aggregates,0
displayed,3
mahomet,0
mocketh,0
pleasant,0
illusion,0
dissolved,0
dhamma,0
identity,0
costly,0
separation,0
frivolous,0
laughingstock,0
borders,0
feign,0
sendeth,0
penetrable,0
disgraced,0
steadies,0
equivalent,0
ministry,0
begged,0
enlighteneth,0
thence,0
ceaselessly,0
crouch,1
driver,0
full,8
ants,0
affirmations,0
discomfort,0
joining,0
flax,0
intuitional,0
perverteth,0
club,0
causes,0
grape,0
embodying,1
sinews,1
needles,0
knows,17
nowhere,1
houses,0
basin,0
employment,2
expedient,0
omen,2
flushes,0
naming,0
murders,0
temperate,0
morsel,0
spirit,1
diviner,0
magnified,0
brimful,0
base,0
flash,0
knowers,0
artificers,0
root,7
whirlwinds,0
laden,0
disciples,0
referred,0
channel,1
food,2
accrue,1
schismatical,0
ago,0
burn,1
equanimous,0
purpose,10
pratyagatman,0
whilst,0
goal,0
theory,0
departs,0
fleetness,0
compare,0
opposition,0
distress,0
incensed,0
getteth,0
sansara,0
thrust,1
merely,0
advantage,2
worship,0
forgeth,0
wilful,0
pentapolis,0
vigour,3
churlishness,0
interior,0
contradistinction,0
honours,2
sureties,0
cattle,0
temporary,0
murder,0
condition,3
concerned,0
marbles,0
chosen,0
upanishads,0
creatures,3
